Time	PPG1
5.984	1894
5.992	1794
6	1703
6.008	1620
6.016	1546
6.024	1487
6.032	1441
6.04	1405
6.048	1381
6.056	1369
6.064	1367
6.072	1372
6.08	1384
6.088	1401
6.096	1422
6.104	1444
6.112	1466
6.12	1487
6.128	1506
6.136	1521
6.144	1532
6.152	1538
6.16	1541
6.168	1540
6.176	1535
6.184	1528
6.192	1517
6.2	1506
6.208	1492
6.216	1475
6.224	1457
6.232	1438
6.24	1418
6.248	1398
6.256	1378
6.264	1358
6.272	1340
6.28	1324
6.288	1308
6.296	1293
6.304	1279
6.312	1265
6.32	1252
6.328	1239
6.336	1226
6.344	1212
6.352	1200
6.36	1189
6.368	1178
6.376	1166
6.384	1155
6.392	1145
6.4	1128
6.408	1116
6.416	1105
6.424	1087
6.432	1086
6.44	1095
6.448	1176
6.456	1261
6.464	1374
6.472	1684
6.48	1872
6.488	2070
6.496	2366
6.504	2540.00000000002
6.512	2692.00000000002
6.52	2820.00000000001
6.528	2914.00000000001
6.536	2970
6.544	2997
6.552	3001
6.56	2980
6.568	2936.99999999999
6.576	2879.99999999999
6.584	2813.99999999999
6.592	2737.99999999999
6.6	2652.99999999999
6.608	2562.99999999999
6.616	2468.99999999999
6.624	2369.99999999999
6.632	2264.99999999999
6.64	2156.99999999999
6.648	2047.99999999999
6.656	1939.99999999999
6.664	1836
6.672	1736
6.68	1642
6.688	1558
6.696	1487
6.704	1427
6.712	1377
6.72	1341
6.728	1319
6.736	1308
6.744	1304
6.752	1308
6.76	1321
6.768	1341
6.776	1364
6.784	1388
6.792	1411
6.8	1435
6.808	1458
6.816	1476
6.824	1489
6.832	1498
6.84	1503
6.848	1505
6.856	1503
6.864	1498
6.872	1489
6.88	1478
6.888	1464
6.896	1447
6.904	1430
6.912	1412
6.92	1393
6.928	1375
6.936	1357
6.944	1339
6.952	1322
6.96	1306
6.968	1291
6.976	1277
6.984	1265
6.992	1253
7	1240
7.008	1228
7.016	1216
7.024	1204
7.032	1192
7.04	1179
7.048	1168
7.056	1157
7.064	1147
7.072	1137
7.08	1126
7.088	1114
7.096	1102
7.104	1090
7.112	1079
7.12	1072
7.128	1072
7.136	1085
7.144	1123
7.152	1185
7.16	1272
7.168	1393
7.176	1549
7.184	1730
7.192	1925
7.2	2130
7.208	2329
7.216	2516
7.224	2683
7.232	2820
7.24	2919
7.248	2987
7.256	3027
7.264	3036
7.272	3016
7.28	2976
7.288	2923
7.296	2857
7.304	2779
7.312	2694
7.32	2604
7.328	2507
7.336	2405
7.344	2300
7.352	2192
7.36	2081
7.368	1970
7.376	1861
7.384	1758
7.392	1662
7.4	1575
7.408	1498
7.416	1431
7.424	1378
7.432	1338
7.44	1309
7.448	1291
7.456	1284
7.464	1286
7.472	1297
7.48	1316
7.488	1339
7.496	1364
7.504	1388
7.512	1412
7.52	1434
7.528	1451
7.536	1466
7.544	1478
7.552	1485
7.56	1486
7.568	1482
7.576	1477
7.584	1469
7.592	1457
7.6	1444
7.608	1430
7.616	1413
7.624	1394
7.632	1375
7.64	1357
7.648	1338
7.656	1319
7.664	1301
7.672	1285
7.68	1271
7.688	1255
7.696	1240
7.704	1227
7.712	1215
7.72	1203
7.728	1191
7.736	1179
7.744	1167
7.752	1155
7.76	1142
7.768	1128
7.776	1116
7.784	1105
7.792	1093
7.8	1080
7.808	1066
7.816	1053
7.824	1043
7.832	1038
7.84	1042
7.848	1067
7.856	1114
7.864	1183
7.872	1286
7.88	1424
7.888	1591
7.896	1778
7.904	1978
7.912	2178
7.92	2371
7.928	2550
7.936	2702
7.944	2818
7.952	2902
7.96	2959
7.968	2984
7.976	2976
7.984	2946
7.992	2901
8	2841
8.008	2767.99999999998
8.016	2686
8.024	2599.99999999998
8.032	2509
8.04	2410.99999999998
8.048	2308
8.056	2202.99999999998
8.064	2096
8.072	1986.99999999998
8.08	1880
8.088	1775.99999999998
8.096	1678
8.104	1588.99999999998
8.112	1509
8.12	1436.99999999999
8.128	1376
8.136	1327.99999999999
8.144	1291
8.152	1264
8.16	1249
8.168	1246
8.176	1252
8.184	1265
8.192	1283
8.2	1304
8.208	1327
8.216	1351
8.224	1373
8.232	1392
8.24	1408
8.248	1421
8.256	1430
8.264	1434
8.272	1433
8.28	1429
8.288	1422
8.296	1411
8.304	1398
8.312	1383
8.32	1368
8.328	1351
8.336	1334
8.344	1316
8.352	1298
8.36	1281
8.368	1265
8.376	1249
8.384	1233
8.392	1217
8.4	1201
8.408	1187
8.416	1173
8.424	1159
8.432	1146
8.44	1133
8.448	1122
8.456	1109
8.464	1097
8.472	1087
8.48	1076
8.488	1063
8.496	1052
8.504	1041
8.512	1029
8.52	1016
8.528	1003
8.536	995
8.544	996
8.552	1013
8.56	1049
8.568	1107
8.576	1197
8.584	1324
8.592	1479
8.6	1654
8.608	1847
8.616	2047
8.624	2243
8.632	2425
8.64	2583
8.648	2709
8.656	2804
8.664	2870
8.672	2903
8.68	2903
8.688	2879
8.696	2839
8.704	2784
8.712	2716
8.72	2640
8.728	2559
8.736	2472
8.744	2378
8.752	2281
8.76	2182
8.768	2078
8.776	1972
8.784	1866
8.792	1763
8.8	1665
8.808	1574
8.816	1491
8.824	1417
8.832	1353
8.84	1302
8.848	1263
8.856	1234
8.864	1215
8.872	1209
8.88	1212
8.888	1222
8.896	1239
8.904	1260
8.912	1282
8.92	1305
8.928	1329
8.936	1351
8.944	1369
8.952	1384
8.96	1395
8.968	1402
8.976	1404
8.984	1403
8.992	1399
9	1391
9.008	1380
9.016	1366
9.024	1351
9.032	1336
9.04	1320
9.048	1303
9.056	1286
9.064	1269
9.072	1252
9.08	1235
9.088	1221
9.096	1207
9.104	1193
9.112	1179
9.12	1166
9.128	1153
9.136	1140
9.144	1127
9.152	1114
9.16	1100
9.168	1088
9.176	1077
9.184	1066
9.192	1055
9.2	1044
9.208	1032
9.216	1021
9.224	1010
9.232	998
9.24	989
9.248	986
9.256	996
9.264	1022
9.272	1069
9.28	1148
9.288	1263
9.296	1409
9.304	1576
9.312	1763
9.32	1959
9.328	2154
9.336	2340
9.344	2505
9.352	2637
9.36	2740
9.368	2816
9.376	2859
9.384	2870
9.392	2855
9.4	2822
9.408	2771
9.416	2707
9.424	2634
9.432	2555
9.44	2471
9.448	2381
9.456	2286
9.464	2188
9.472	2088
9.48	1986
9.488	1884
9.496	1784
9.504	1688
9.512	1599
9.52	1516
9.528	1439
9.536	1374
9.544	1321
9.552	1279
9.56	1247
9.568	1227
9.576	1217
9.584	1216
9.592	1222
9.6	1235
9.608	1254
9.616	1276
9.624	1300
9.632	1324
9.64	1346
9.648	1365
9.656	1382
9.664	1395
9.672	1404
9.68	1408
9.688	1408
9.696	1404
9.704	1398
9.712	1389
9.72	1378
9.728	1365
9.736	1351
9.744	1337
9.752	1322
9.76	1306
9.768	1291
9.776	1276
9.784	1261
9.792	1247
9.8	1232
9.808	1217
9.816	1203
9.824	1190
9.832	1178
9.84	1166
9.848	1155
9.856	1145
9.864	1133
9.872	1121
9.88	1109
9.888	1096
9.896	1084
9.904	1073
9.912	1062
9.92	1050
9.928	1038
9.936	1026
9.944	1015
9.952	1011
9.96	1023
9.968	1051
9.976	1098
9.984	1176
9.992	1290
10	1432
10.008	1596.00000000004
10.016	1780
10.024	1973.00000000004
10.032	2166
10.04	2348.00000000004
10.048	2509
10.056	2640.00000000003
10.064	2742
10.072	2817.00000000001
10.08	2859
10.088	2868
10.096	2853
10.104	2821.99999999999
10.112	2773
10.12	2710.99999999999
10.128	2640
10.136	2561.99999999998
10.144	2479
10.152	2390.99999999998
10.16	2299
10.168	2203.99999999998
10.176	2105
10.184	2004.99999999998
10.192	1905
10.2	1806.99999999998
10.208	1712
10.216	1621.99999999998
10.224	1538
10.232	1461.99999999998
10.24	1397
10.248	1345
10.256	1303
10.264	1270
10.272	1248
10.28	1239
10.288	1241
10.296	1249
10.304	1264
10.312	1284
10.32	1307
10.328	1332
10.336	1356
10.344	1378
10.352	1397
10.36	1414
10.368	1427
10.376	1436
10.384	1440
10.392	1442
10.4	1441
10.408	1437
10.416	1431
10.424	1422
10.432	1410
10.44	1397
10.448	1382
10.456	1365
10.464	1350
10.472	1334
10.48	1318
10.488	1303
10.496	1288
10.504	1273
10.512	1260
10.52	1247
10.528	1235
10.536	1223
10.544	1211
10.552	1199
10.56	1186
10.568	1172
10.576	1159
10.584	1147
10.592	1135
10.6	1124
10.608	1113
10.616	1102
10.624	1090
10.632	1078
10.64	1067
10.648	1059
10.656	1057
10.664	1070
10.672	1098
10.68	1146
10.688	1225
10.696	1341
10.704	1486
10.712	1653
10.72	1841
10.728	2037
10.736	2232
10.744	2416
10.752	2579
10.76	2710
10.768	2812
10.776	2887
10.784	2929
10.792	2939
10.8	2925
10.808	2894
10.816	2846
10.824	2784
10.832	2713
10.84	2637
10.848	2555
10.856	2467
10.864	2375
10.872	2281
10.88	2183
10.888	2083
10.896	1982
10.904	1881
10.912	1785
10.92	1696
10.928	1613
10.936	1538
10.944	1474
10.952	1422
10.96	1380
10.968	1348
10.976	1327
10.984	1319
10.992	1320
11	1326
11.008	1340
11.016	1360
11.024	1383.00000000001
11.032	1408
11.04	1432.00000000001
11.048	1454
11.056	1473
11.064	1489
11.072	1500
11.08	1506
11.088	1509
11.096	1509
11.104	1506
11.112	1499
11.12	1490
11.128	1479
11.136	1466
11.144	1450
11.152	1433
11.16	1417
11.168	1401
11.176	1385
11.184	1369
11.192	1353
11.2	1337
11.208	1321
11.216	1306
11.224	1292
11.232	1278
11.24	1265
11.248	1253
11.256	1240
11.264	1228
11.272	1216
11.28	1204
11.288	1192
11.296	1180
11.304	1169
11.312	1158
11.32	1147
11.328	1136
11.336	1123
11.344	1111
11.352	1101
11.36	1097
11.368	1109
11.376	1138
11.384	1186
11.392	1265
11.4	1380
11.408	1523
11.416	1688
11.424	1872
11.432	2064
11.44	2255
11.448	2437
11.456	2598
11.464	2726
11.472	2824
11.48	2895
11.488	2935
11.496	2943
11.504	2927
11.512	2895
11.52	2846
11.528	2783
11.536	2712
11.544	2634
11.552	2551
11.56	2463
11.568	2370
11.576	2274
11.584	2175
11.592	2074
11.6	1973
11.608	1875
11.616	1779
11.624	1688
11.632	1605
11.64	1531
11.648	1467
11.656	1416
11.664	1375
11.672	1345
11.68	1326
11.688	1318
11.696	1320
11.704	1329
11.712	1346
11.72	1367
11.728	1391
11.736	1417
11.744	1442
11.752	1463
11.76	1482
11.768	1498
11.776	1510
11.784	1516
11.792	1518
11.8	1518
11.808	1515
11.816	1509
11.824	1500
11.832	1489
11.84	1476
11.848	1459
11.856	1442
11.864	1424
11.872	1406
11.88	1389
11.888	1373
11.896	1357
11.904	1342
11.912	1327
11.92	1312
11.928	1297
11.936	1282
11.944	1266
11.952	1252
11.96	1238
11.968	1224
11.976	1210
11.984	1197
11.992	1186
12	1174
12.008	1162
12.016	1151
12.024	1142
12.032	1131
12.04	1120
12.048	1110
12.056	1103
12.064	1103
12.072	1119
12.08	1152
12.088	1205.00000000001
12.096	1290
12.104	1409.00000000003
12.112	1557
12.12	1725.00000000004
12.128	1911
12.136	2104.00000000004
12.144	2295
12.152	2475.00000000004
12.16	2632
12.168	2757.00000000002
12.176	2853
12.184	2921.00000000001
12.192	2955
12.2	2957
12.208	2936
12.216	2897.99999999999
12.224	2844
12.232	2775.99999999998
12.24	2700
12.248	2618.99999999998
12.256	2533
12.264	2440.99999999998
12.272	2345
12.28	2246.99999999998
12.288	2146
12.296	2043
12.304	1941
12.312	1841
12.32	1745
12.328	1656
12.336	1574
12.344	1502
12.352	1441
12.36	1392
12.368	1354
12.376	1326
12.384	1309
12.392	1304
12.4	1308
12.408	1319
12.416	1336
12.424	1356
12.432	1379
12.44	1404
12.448	1428
12.456	1450
12.464	1469
12.472	1485
12.48	1496
12.488	1502
12.496	1504
12.504	1503
12.512	1499
12.52	1491
12.528	1482
12.536	1470
12.544	1456
12.552	1442
12.56	1427
12.568	1411
12.576	1395
12.584	1380
12.592	1364
12.6	1348
12.608	1332
12.616	1317
12.624	1303
12.632	1289
12.64	1277
12.648	1265
12.656	1252
12.664	1239
12.672	1227
12.68	1216
12.688	1205
12.696	1195
12.704	1185
12.712	1174
12.72	1164
12.728	1155
12.736	1145
12.744	1134
12.752	1123
12.76	1116
12.768	1115
12.776	1130
12.784	1161
12.792	1214
12.8	1299
12.808	1421
12.816	1571
12.824	1742
12.832	1932
12.84	2129
12.848	2325
12.856	2510
12.864	2672
12.872	2802
12.88	2902
12.888	2975
12.896	3016
12.904	3023
12.912	3007
12.92	2974
12.928	2922
12.936	2855
12.944	2779
12.952	2698
12.96	2611
12.968	2517
12.976	2419
12.984	2319
12.992	2215
13	2108
13.008	2000.99999999998
13.016	1898
13.024	1797.99999999998
13.032	1705
13.04	1620.99999999998
13.048	1547
13.056	1483.99999999999
13.064	1433
13.072	1394.99999999999
13.08	1367
13.088	1350
13.096	1344
13.104	1348
13.112	1360
13.12	1378
13.128	1399
13.136	1423.00000000001
13.144	1449
13.152	1476.00000000001
13.16	1499
13.168	1518
13.176	1534
13.184	1546
13.192	1552
13.2	1554
13.208	1554
13.216	1550
13.224	1542
13.232	1533
13.24	1523
13.248	1509
13.256	1492
13.264	1474
13.272	1458
13.28	1442
13.288	1425
13.296	1409
13.304	1393
13.312	1378
13.32	1363
13.328	1349
13.336	1335
13.344	1321
13.352	1307
13.36	1293
13.368	1280
13.376	1268
13.384	1257
13.392	1246
13.4	1234
13.408	1223
13.416	1212
13.424	1199
13.432	1187
13.44	1174
13.448	1161
13.456	1151
13.464	1144
13.472	1144
13.48	1163
13.488	1203
13.496	1265
13.504	1360
13.512	1492
13.52	1653
13.528	1836
13.536	2036
13.544	2239
13.552	2439
13.56	2628
13.568	2792
